arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
hrl,multi,0,weighted_cka,0,1,-4.960855409107162,300,0.5460240244865417,0.21395714581012726,0,0.0,7,0,off,0,0,0.0,0.0,0.0,-0.05026355434022844,0.34243941506743425,0.014552070587873459,0.06430304051935673,0.33181450690643394,0.31199999999999994,-5.9757008878480455,0.0
hrl,multi,0,weighted_cka,0,2,-4.952645363545157,300,0.5705164670944214,0.18872161209583282,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.2679999999999999,-0.1173306014612317,0.014165256053209303,-0.005489724251208826,0.28785775095212734,0.36199999999999993,-5.761848044838061,0.0
hrl,multi,0,weighted_cka,0,3,-4.827452617784726,300,0.6026514768600464,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.023285708963871,-0.04977444967301562,0.016545807072892785,0.3341550556189613,0.29015745227574363,0.3317929917424917,-5.773615183785677,0.0
hrl,multi,0,weighted_cka,0,4,-5.046107853887948,300,0.5949755907058716,0.20000000298023224,0,0.0,7,0,off,0,0,0.0,0.0,0.0,-0.038030313923954964,0.2767326699197291,-0.024724446414038537,0.01706119849160314,0.2994049315723823,0.33399999999999996,-5.910551893533677,0.0
hrl,multi,0,weighted_cka,0,5,-4.719103387666192,300,0.7323917746543884,0.16803701221942902,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.24128570896387094,-0.024816683039069178,-4.611037766261747,-0.14836557472497222,0.028,0.2899999999999999,-0.49416907260427273,0.0
hrl,multi,0,weighted_cka,0,6,-4.694199977404785,300,0.8018864393234253,0.20066291093826294,0,0.0,7,0,off,0,0,0.0,0.0,0.0,-0.352102818720043,0.3200923680054838,-0.3088619138933718,0.356,-4.6842134144863135,0.028,-0.05311419831053354,0.0
hrl,multi,0,weighted_cka,0,7,-4.7244223613000855,300,0.6489830017089844,0.1729852706193924,0,0.0,7,0,off,0,0,0.0,0.0,0.0,-2.798714010179037,-2.434406427141975,0.007883585931733252,0.016446187853813167,0.33164103715121745,0.22414881812967352,-0.07142155304551125,0.0
hrl,multi,0,weighted_cka,0,8,-4.029245282126049,300,0.8292630910873413,0.21484607458114624,0,0.0,7,0,off,0,0,0.0,0.0,0.0,-1.9430388148427022,-3.0670063831921355,0.15678962235670765,0.2836827711588702,0.24618262972298535,0.2876410371512174,0.0065038555189967165,0.0
hrl,multi,0,weighted_cka,0,9,-4.8453216970690525,300,0.646313488483429,0.1780792474746704,0,0.0,7,0,off,0,0,0.0,0.0,0.0,-0.044962951511144635,-0.11995053411554552,-0.002493047844618554,-5.245414234621061,0.2735123287950409,0.33164103715121745,-0.03765429492294788,0.0
hrl,multi,0,weighted_cka,0,10,-4.614523073715087,300,0.6608772873878479,0.23199999332427979,0,0.0,7,0,off,0,0,0.0,0.0,0.0,0.012000000000000004,-4.895462767795187,-0.011759334487840535,-0.3014666302189582,0.33164103715121745,0.22161906340718263,0.028905558228492736,0.0
